"ID" "Species" "Size" "Synonyms" "Symbols" "Descriptions"
"3026" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0127; b0128" "yadG; yadH" "predicted transporter subunit: ATP-binding component of ABC superfamily; predicted transporter subunit: membrane component of ABC superfamily"
"3027" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0133; b0134" "panC; panB" "pantothenate synthetase; 3-methyl-2-oxobutanoate hydroxymethyltransferase"
"3028" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 6 "b0135; b0136; b0137; b0138; b0139; b0140" "yadC; yadK; yadL; yadM; htrE; ecpD" "predicted fimbrial-like adhesin protein; predicted fimbrial-like adhesin protein; predicted fimbrial-like adhesin protein; predicted fimbrial-like adhesin protein; predicted outer membrane usher protein; predicted periplasmic pilin chaperone"
"3029" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0142; b0143; b0144; b0145" "folK; pcnB; gluQ; dksA" "2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase; poly(A) polymerase I; glutamyl-Q tRNA(Asp) synthetase; DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein"
"3030" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0146; b0147" "sfsA; ligT" "predicted DNA-binding transcriptional regulator; 2'-5' RNA ligase"
"3031" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0150; b0151; b0152; b0153" "fhuA; fhuC; fhuD; fhuB" "ferrichrome outer membrane transporter; iron-hydroxamate transporter subunit; iron-hydroxamate transporter subunit; fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components"
"3032" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0155; b0156" "clcA; erpA" "chloride channel, voltage-gated; iron-sulfur cluster insertion protein"
"3033" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0157; b0158; b0159" "yadS; btuF; mtn" "inner membrane protein, UPF0126 family; vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily; 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase"
"3034" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0166; b0167; b0168" "dapD; glnD; map" "2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase; uridylyltransferase; methionine aminopeptidase"
"3035" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0170; b0171" "tsf; pyrH" "protein chain elongation factor EF-Ts; uridylate kinase"
"3036" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0172; b0173" "frr; dxr" "ribosome recycling factor; 1-deoxy-D-xylulose 5-phosphate reductoisomerase"
"3037" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0174; b0175; b0176; b0177" "ispU; cdsA; rseP; bamA" "undecaprenyl pyrophosphate synthase; CDP-diglyceride synthase; inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA; outer membrane protein assembly factor, forms pores; required for OM biogenesis; in BamABCDE OM protein complex"
"3038" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 8 "b0178; b0179; b0180; b0181; b0182; b0183; b0184; b0185" "skp; lpxD; fabZ; lpxA; lpxB; rnhB; dnaE; accA" "periplasmic chaperone; UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase; (3R)-hydroxymyristol acyl carrier protein dehydratase; UDP-N-acetylglucosamine acetyltransferase; tetraacyldisaccharide-1-P synthase; ribonuclease HII, degrades RNA of DNA-RNA hybrids; DNA polymerase III alpha subunit; acetyl-CoA carboxylase, carboxytransferase, alpha subunit"
"3039" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0186; b0187; b0188" "ldcC; yaeR; tilS" "lysine decarboxylase 2, constitutive; predicted lyase; tRNA(Ile)-lysidine synthetase"
"3040" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0189; b4406" "rof; yaeP" "modulator of Rho-dependent transcription termination; conserved protein"
"3041" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0190; b0191; b0192" "yaeQ; yaeJ; nlpE" "conserved protein; petidyl-tRNA hydrolase, ribosome-attached; stalled ribosome rescue factor; lipoprotein involved with copper homeostasis and adhesion"
"3042" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0195; b0196" "yaeB; rcsF" "conserved protein, UPF0066 family; predicted outer membrane protein, signal"
"3043" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0197; b0198; b0199" "metQ; metI; metN" "DL-methionine transporter subunit; DL-methionine transporter subunit; DL-methionine transporter subunit"
"3044" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0209; b0210" "yafD; yafE" "conserved protein; predicted S-adenosyl-L-methionine-dependent methyltransferase"
"3045" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0211; b0212" "mltD; gloB" "predicted membrane-bound lytic murein transglycosylase D; hydroxyacylglutathione hydrolase"
"3046" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0225; b0226" "yafQ; dinJ" "translation inhibitor toxin of toxin-antitoxin pair YafQ/DinJ; antitoxin of YafQ-DinJ toxin-antitoxin system"
"3047" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0231; b0232; b0233; b0234" "dinB; yafN; yafO; yafP" "DNA polymerase IV; antitoxin of the YafO-YafN toxin-antitoxin system; mRNA interferase toxin of the YafO-YafN toxin-antitoxin system; predicted acyltransferase with acyl-CoA N-acyltransferase domain"
"3048" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0239; b0240" "frsA; crl" "fermentation-respiration switch protein; PTS Enzyme IIA(Glc)-binding protein; pNP-butyrate esterase activity; sigma factor-binding protein, stimulates RNA polymerase holoenzyme formation"
"3049" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0242; b0243" "proB; proA" "gamma-glutamate kinase; gamma-glutamylphosphate reductase"
"3050" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b0245; b0246; b4504; b0247; b0248" "ykfI; yafW; ykfH; ykfG; yafX" "CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system; CP4-6 prophage; antitoxin of the YkfI-YafW toxin-antitoxin system; predicted protein; CP4-6 prophage; predicted DNA repair protein; CP4-6 prophage; predicted protein"
"3051" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0250; b0251" "ykfB; yafY" "CP4-6 prophage; predicted protein; lipoprotein, inner membrane; overproduction stimulates degP expression; CP4-6 prophage"
"3052" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0252; b0253" "yafZ; ykfA" "CP4-6 prophage; conserved protein; CP4-6 prophage; predicted GTP-binding protein"
"3053" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0260; b0261" "mmuP; mmuM" "CP4-6 prophage; predicted S-methylmethionine transporter; CP4-6 prophage; S-methylmethionine:homocysteine methyltransferase"
"3054" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0264; b0265" "insB; insA" "IS1 transposase B; IS1 repressor TnpA"
"3055" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0269" "yagF" "CP4-6 prophage; predicted dehydratase"
"3056" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0270; b0271" "yagG; yagH" "CP4-6 prophage; predicted sugar transporter; CP4-6 prophage; predicted xylosidase/arabinosidase"
"3057" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0274; b0275" "insB; insA" "IS1 transposase B; IS1 repressor TnpA"
"3058" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0278; b0279" "yagL; yagM" "CP4-6 prophage; DNA-binding protein; CP4-6 prophage; predicted protein"
"3059" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0283; b0284; b0285; b0286" "paoD; paoC; paoB; paoA" "moco insertion factor for PaoABC aldehyde oxidoreductase; PaoABC aldehyde oxidoreductase, Moco-containing subunit; PaoABC aldehyde oxidoreductase, FAD-containing subunit; PaoABC aldehyde oxidoreductase, 2Fe-2S subunit"
"3060" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 6 "b0289; b0290; b0291; b0292; b0293; b0294" "yagV; yagW; yagX; matC; matB; matA" "conserved protein; predicted receptor; predicted aromatic compound dioxygenase; predicted protein; cryptic Mat fimbrillin gene; predicted regulator"
"3061" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b4506; b0296" "ykgO; ykgM" "rpmJ (L36) paralog; rpmE (L31) paralog"
"3062" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0298; b0299" "insE; insF" "IS3 transposase A; IS3 transposase B"
"3063" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0301; b0303" "ykgB; ykgI" "inner membrane protein, DUF417 family; predicted protein"
"3064" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0306; b0307; b0308" "ykgE; ykgF; ykgG" "predicted oxidoreductase; predicted electron transport protein with ferridoxin-like domai; predicted transporter"
"3065" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0311; b0312; b0313" "betA; betB; betI" "choline dehydrogenase, a flavoprotein; betaine aldehyde dehydrogenase, NAD-dependent; DNA-binding transcriptional repressor"
"3066" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0318; b0319; b0320; b0321" "yahD; yahE; yahF; yahG" "ankyrin repeat protein; predicted protein; predicted acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain; conserved protein"
"3067" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0323; b0324" "yahI; yahJ" "carbamate kinase-like protein; predicted deaminase with metallo-dependent hydrolase domain"
"3068" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0333; b0334; b0335" "prpC; prpD; prpE" "2-methylcitrate synthase; 2-methylcitrate dehydratase; propionate--CoA ligase"
"3069" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0336; b0337" "codB; codA" "cytosine transporter; cytosine/isoguanine deaminase"
"3070" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0339; b0340; b0341" "cynT; cynS; cynX" "carbonic anhydrase; cyanate aminohydrolase; predicted cyanate transporter"
"3071" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0342; b0343; b0344" "lacA; lacY; lacZ" "thiogalactoside acetyltransferase; lactose permease; beta-D-galactosidase"
"3072" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0345; b0346" "lacI; mhpR" "DNA-binding transcriptional repressor; DNA-binding transcriptional activator, 3HPP-binding"
"3073" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 6 "b0347; b0348; b0349; b0350; b0351; b0352" "mhpA; mhpB; mhpC; mhpD; mhpF; mhpE" "3-(3-hydroxyphenyl)propionate hydroxylase; 2,3-dihydroxyphenylpropionate 1,2-dioxygenase; 2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase; 2-keto-4-pentenoate hydratase; acetaldehyde-CoA dehydrogenase II, NAD-binding; 4-hyroxy-2-oxovalerate/4-hydroxy-2-oxopentanoic acid aldolase, class I"
"3074" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0355; b0356; b0357" "frmB; frmA; frmR" "S-formylglutathione hydrolase; alcohol dehydrogenase class III/glutathione-dependent formaldehyde dehydrogenase; regulator protein that represses frmRAB operon"
"3075" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0360; b0361" "insC; insD" "IS2 repressor TnpA; IS2 transposase TnpB"
"3076" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0365; b0366; b0367; b0368" "tauA; tauB; tauC; tauD" "taurine transporter subunit; taurine transporter subunit; taurine transporter subunit; taurine dioxygenase, 2-oxoglutarate-dependent"
"3077" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0372; b0373" "insF; insE" "IS3 transposase B; IS3 transposase A"
"3078" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0377; b0378" "sbmA; yaiW" "microcin B17 transporter; probable lipoprotein required for swarming phenotype"
"3079" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0388; b0389" "aroL; yaiA" "shikimate kinase II; predicted protein"
"3080" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0390; b0391" "aroM; yaiE" "conserved protein, AroM family; regulated by aroR; conserved protein, UPF0345 family"
"3081" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0397; b0398" "sbcC; sbcD" "exonuclease, dsDNA, ATP-dependent; exonuclease, dsDNA, ATP-dependent"
"3082" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0399; b0400" "phoB; phoR" "DNA-binding response regulator in two-component regulatory system with PhoR (or CreC); sensory histidine kinase in two-component regulatory system with PhoB"
"3083" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0401; b0402" "brnQ; proY" "Branched-chain amino acid transport system 2 carrier protein; LIV-II transport system for Ile, Leu, and Val; proline-specific permease"
"3084" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b0405; b0406; b0407; b0408; b0409" "queA; tgt; yajC; secD; secF" "S-adenosylmethionine:tRNA ribosyltransferase-isomerase; tRNA-guanine transglycosylase; SecYEG protein translocase auxillary subunit; SecYEG protein translocase auxillary subunit; SecYEG protein translocase auxillary subunit"
"3085" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0413; b0414; b0415; b0416" "nrdR; ribD; ribE; nusB" "conserved protein; fused diaminohydroxyphosphoribosylaminopyrimidine deaminase and 5-amino-6-(5-phosphoribosylamino) uracil reductase; riboflavin synthase beta chain; transcription antitermination protein"
"3086" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0417; b0418" "thiL; pgpA" "thiamin-monophosphate kinase; phosphatidylglycerophosphatase A"
"3087" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0420; b0421; b0422" "dxs; ispA; xseB" "1-deoxyxylulose-5-phosphate synthase, thiamine-requiring, FAD-requiring; geranyltranstransferase; exonuclease VII small subunit"
"3088" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0424; b0425" "yajL; panE" "Oxidative-stress-resistance chaperone; 2-dehydropantoate reductase, NADPH-specific"
"3089" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b0428; b0429; b0430; b0431; b0432" "cyoE; cyoD; cyoC; cyoB; cyoA" "protoheme IX farnesyltransferase; cytochrome o ubiquinol oxidase subunit IV; cytochrome o ubiquinol oxidase subunit III; cytochrome o ubiquinol oxidase subunit I; cytochrome o ubiquinol oxidase subunit II"
"3090" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0433; b0434" "ampG; yajG" "muropeptide transporter; predicted lipoprotein"
"3091" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0437; b0438" "clpP; clpX" "proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases; ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease"
"3092" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0444; b0445" "queC; ybaE" "7-cyano-7-deazaguanine (preQ0) synthase; queuosine biosynthesis; predicted transporter subunit: periplasmic-binding component of ABC superfamily"
"3093" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0447; b0448; b0449" "ybaO; mdlA; mdlB" "predicted DNA-binding transcriptional regulator; fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components; fused predicted multidrug transporter subunits of ABC superfamily: ATP-binding components"
"3094" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0450; b0451" "glnK; amtB" "nitrogen assimilation regulatory protein for GlnL, GlnE, and AmtB; ammonium transporter"
"3095" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0460; b0461" "hha; tomB" "modulator of gene expression, with H-NS; Hha toxicity attenuator; conjugation-related protein"
"3096" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0462; b0463" "acrB; acrA" "multidrug efflux system protein; multidrug efflux system"
"3097" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0466; b0467" "ybaM; priC" "predicted protein; primosomal replication protein N''"
"3098" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0469; b0470; b0471; b0472" "apt; dnaX; ybaB; recR" "adenine phosphoribosyltransferase; DNA polymerase III/DNA elongation factor III, tau and gamma subunits; conserved protein; gap repair protein"
"3099" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0485; b0486" "ybaS; ybaT" "glutaminase; predicted transporter"
"3100" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0488; b0489" "ybbJ; qmcA" "inner membrane protein that stimulates the ftsH htpX mutant suppressor activity of QmcA; multicopy suppressor of ftsH htpX double mutant; membrane-anchored predicted protease with C-terminal cytoplasmic PHB domain"
"3101" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0490; b0491" "ybbL; ybbM" "predicted transporter subunit: ATP-binding component of ABC superfamily; inner membrane protein, UPF0014 family"
"3102" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0492; b0493; b0494" "ybbN; ybbO; tesA" "DnaK co-chaperone, thioredoxin-like protein; predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain; multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1"
"3103" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0495; b0496" "ybbA; ybbP" "predicted transporter subunit: ATP-binding component of ABC superfamily; predicted ABC transporter permease"
"3104" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0503; b0504" "selU; allS" "tRNA 2-selenouridine synthase, selenophosphate-dependent; DNA-binding transcriptional activator of the allD operon"
"3105" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0505; b0506" "allA; allR" "ureidoglycolate hydrolase; DNA-binding transcriptional repressor for all (allantoin) and gcl (glyoxylate) operons; glyoxylate-induced"
"3106" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0507; b0508" "gcl; hyi" "glyoxylate carboligase; hydroxypyruvate isomerase"
"3107" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0511; b0512; b0513; b0514" "ybbW; allB; ybbY; glxK" "predicted allantoin transporter; allantoinase; predicted uracil/xanthine transporter; glycerate kinase II"
"3108" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b0515; b0516; b0517" "ylbA; allC; allD" "conserved protein; allantoate amidohydrolase; ureidoglycolate dehydrogenase"
"3109" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0520; b0521" "ylbF; ybcF" "conserved protein; predicted carbamate kinase"
"3110" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0522; b0523; b0524; b0525" "purK; purE; lpxH; ppiB" "N5-carboxyaminoimidazole ribonucleotide synthase; N5-carboxyaminoimidazole ribonucleotide mutase; UDP-2,3-diacylglucosamine pyrophosphatase; peptidyl-prolyl cis-trans isomerase B (rotamase B)"
"3111" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0528; b0529" "ybcJ; folD" "Ribosome-associated protein; predicted RNA-binding protein; bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase"
"3112" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b0531; b0532; b0533; b0534" "sfmC; sfmD; sfmH; sfmF" "pilin chaperone, periplasmic; predicted outer membrane export usher protein; predicted fimbrial-like adhesin protein; predicted fimbrial-like adhesin protein"
"3113" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b0540; b0541" "insE; insF" "IS3 transposase A; IS3 transposase B"
